Building Address,Under 5 years,Under 5 years,5 to 9 years,5 to 9 years,10 to 14 years,10 to 14 years,15 to 19 years,15 to 19 years,20 to 24 years,20 to 24 years,25 to 34 years,25 to 34 years,35 to 44 years,35 to 44 years,45 to 54 years,45 to 54 years,55 to 59 years,55 to 59 years,60 to 64 years,60 to 64 years,65 to 74 years,65 to 74 years,75 to 84 years,75 to 84 years,85 years and over,85 years and over,Single Senior only,Single Senior only,2+ Seniors only,2+ Seniors only,Single non-senior,Single non-senior,"Couple, no child(ren)","Couple, no child(ren)",2 parents + child(ren) <18,2 parents + child(ren) <18,2 parents + child(ren)>=18,2 parents + child(ren)>=18,Single parent + child(ren)<18,Single parent + child(ren)<18,Single parent + child(ren)>=18,Single parent + child(ren)>=18,Single grandparent + child(ren)<18,Single grandparent + child(ren)<18,Single grandparent + child(ren)>=18,Single grandparent + child(ren)>=18,Other + child(ren)<18,Other + child(ren)<18,"Other, no child(ren)<18","Other, no child(ren)<18",Employment ,Employment ,Own Business,Own Business,Unemployment Insurance,Unemployment Insurance,Public Assistance,Public Assistance,Social Security,Social Security,SSI,SSI,VA Benefits,VA Benefits,Pension,Pension,Child Support,Child Support,Other,Other,Non-Verifiable,Non-Verifiable,Non-Verifiable only,Non-Verifiable only
LENOX ROAD-ROCKAWAY PARKWAY,16,9%,14,8%,15,9%,22,13%,13,8%,28,16%,13,8%,23,14%,8,5%,8,5%,7,4%,3,2%,0,0%,7,10%,2,3%,14,19%,0,0%,1,1%,1,1%,26,36%,11,15%,6,8%,0,0%,2,3%,2,3%,40,56%,1,1%,6,8%,9,12%,19,26%,21,29%,0,0%,4,6%,5,7%,0,0%,4,6%,1,1%
LEXINGTON,30,3%,48,6%,48,6%,57,7%,69,8%,83,10%,76,9%,124,14%,69,8%,48,6%,107,12%,61,7%,38,4%,101,23%,33,8%,78,18%,9,2%,15,3%,15,3%,74,17%,82,19%,8,2%,5,1%,8,2%,12,3%,189,43%,1,0%,27,6%,44,10%,193,44%,120,27%,3,1%,69,16%,8,2%,46,10%,42,10%,6,1%
LINCOLN,185,6%,242,8%,303,10%,329,11%,311,10%,300,10%,302,10%,363,12%,171,6%,133,4%,198,7%,97,3%,69,2%,203,16%,28,2%,187,15%,9,1%,45,4%,24,2%,352,28%,240,19%,81,6%,33,3%,32,3%,34,3%,538,42%,0,0%,71,6%,155,12%,446,35%,352,28%,13,1%,111,9%,11,1%,36,3%,19,1%,12,1%
LONG ISLAND BAPTIST HOUSES,40,7%,52,10%,65,12%,54,10%,58,11%,62,11%,60,11%,56,10%,28,5%,20,4%,33,6%,15,3%,4,1%,33,15%,3,1%,37,16%,4,2%,11,5%,6,3%,83,37%,30,13%,7,3%,3,1%,5,2%,4,2%,111,49%,1,0%,15,7%,34,15%,62,27%,75,33%,0,0%,4,2%,11,5%,4,2%,14,6%,8,4%
LONGFELLOW AVENUE REHAB,15,5%,28,10%,33,12%,42,15%,39,14%,33,12%,30,11%,31,11%,17,6%,1,0%,7,3%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,5,7%,2,3%,25,34%,15,20%,6,8%,2,3%,15,20%,4,5%,53,72%,1,1%,7,9%,15,20%,13,18%,18,24%,0,0%,2,3%,3,4%,6,8%,0,0%,,0%
LOW HOUSES,111,8%,127,9%,126,9%,164,12%,156,11%,190,14%,136,10%,149,11%,72,5%,46,3%,64,5%,48,3%,5,0%,60,11%,12,2%,79,15%,11,2%,29,5%,6,1%,189,36%,73,14%,21,4%,9,2%,25,5%,15,3%,240,45%,1,0%,32,6%,84,16%,141,27%,155,29%,2,0%,20,4%,20,4%,4,1%,18,3%,14,3%
LOWER EAST SIDE I INFILL,13,3%,7,2%,19,5%,18,5%,23,6%,48,13%,29,8%,32,9%,24,6%,32,9%,47,13%,51,14%,32,9%,73,39%,21,11%,17,9%,2,1%,3,2%,19,10%,12,6%,26,14%,5,3%,1,1%,3,2%,5,3%,61,33%,0,0%,4,2%,9,5%,111,59%,81,43%,0,0%,35,19%,4,2%,14,7%,11,6%,2,1%
LOWER EAST SIDE II,21,4%,33,7%,26,5%,43,9%,47,10%,62,13%,34,7%,66,14%,55,12%,37,8%,32,7%,17,4%,1,0%,20,11%,8,4%,27,15%,9,5%,17,9%,11,6%,29,16%,38,21%,13,7%,2,1%,6,3%,5,3%,100,54%,0,0%,10,5%,10,5%,69,37%,54,29%,0,0%,7,4%,3,2%,5,3%,8,4%,6,3%
LOWER EAST SIDE III,9,5%,11,6%,17,9%,31,16%,25,13%,18,9%,15,8%,28,14%,18,9%,8,4%,11,6%,4,2%,1,1%,0,0%,1,2%,2,4%,0,0%,11,20%,5,9%,7,12%,14,25%,5,9%,1,2%,8,14%,2,4%,41,73%,0,0%,2,4%,4,7%,16,29%,21,38%,0,0%,1,2%,1,2%,4,7%,4,7%,1,2%
LOWER EAST SIDE REHAB (GROUP 5),3,3%,10,8%,12,10%,8,7%,10,8%,19,16%,6,5%,19,16%,7,6%,9,8%,7,6%,6,5%,3,3%,6,11%,5,9%,8,15%,1,2%,1,2%,0,0%,15,28%,10,19%,3,6%,0,0%,3,6%,2,4%,25,46%,0,0%,1,2%,7,13%,21,39%,20,37%,1,2%,2,4%,2,4%,1,2%,0,0%,,0%
MANHATTANVILLE,153,5%,218,8%,248,9%,294,10%,287,10%,323,11%,271,9%,362,13%,155,5%,132,5%,216,7%,163,6%,70,2%,273,22%,40,3%,177,14%,25,2%,49,4%,32,3%,295,24%,202,16%,64,5%,22,2%,34,3%,34,3%,504,40%,3,0%,90,7%,168,13%,483,39%,368,30%,17,1%,131,11%,49,4%,90,7%,25,2%,12,1%
MARBLE HILL,181,5%,244,7%,275,8%,291,9%,282,8%,369,11%,320,10%,395,12%,193,6%,194,6%,345,10%,178,5%,79,2%,376,23%,71,4%,282,17%,25,2%,44,3%,27,2%,419,26%,258,16%,59,4%,24,1%,23,1%,35,2%,693,42%,1,0%,84,5%,160,10%,609,37%,473,29%,17,1%,204,12%,63,4%,102,6%,55,3%,17,1%
MARCY,210,5%,349,8%,377,9%,527,12%,516,12%,457,10%,452,10%,531,12%,267,6%,199,5%,282,6%,151,3%,51,1%,226,13%,33,2%,177,10%,21,1%,68,4%,31,2%,410,24%,388,23%,132,8%,40,2%,94,6%,79,5%,836,49%,0,0%,91,5%,178,10%,559,33%,531,31%,6,0%,119,7%,72,4%,34,2%,28,2%,11,1%
MARINER'S HARBOR,105,7%,142,9%,182,12%,216,14%,190,12%,180,12%,173,11%,184,12%,69,4%,48,3%,52,3%,18,1%,4,0%,49,8%,10,2%,94,16%,6,1%,26,4%,8,1%,212,35%,123,21%,35,6%,5,1%,18,3%,12,2%,310,52%,1,0%,45,8%,110,18%,145,24%,143,24%,2,0%,29,5%,31,5%,7,1%,28,5%,9,2%
MARLBORO,210,5%,300,7%,357,9%,397,10%,404,10%,434,10%,412,10%,515,12%,306,7%,252,6%,347,8%,167,4%,47,1%,273,16%,59,3%,248,15%,41,2%,124,7%,99,6%,351,21%,291,17%,88,5%,29,2%,48,3%,49,3%,810,48%,0,0%,105,6%,169,10%,615,36%,559,33%,6,0%,123,7%,29,2%,66,4%,125,7%,39,2%
MARSHALL PLAZA,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,4,2%,4,2%,70,36%,80,41%,37,19%,147,86%,20,12%,0,0%,4,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,7,4%,0,0%,0,0%,2,1%,108,63%,112,65%,1,1%,25,15%,0,0%,0,0%,2,1%,1,1%
MCKINLEY,74,5%,135,9%,153,10%,177,12%,171,11%,168,11%,129,8%,193,13%,87,6%,64,4%,103,7%,61,4%,19,1%,110,18%,11,2%,92,15%,8,1%,27,4%,8,1%,167,27%,104,17%,27,4%,11,2%,25,4%,24,4%,275,45%,0,0%,37,6%,74,12%,184,30%,211,34%,1,0%,32,5%,11,2%,19,3%,14,2%,5,1%
MELROSE,129,5%,206,8%,234,9%,307,12%,265,11%,237,9%,229,9%,322,13%,148,6%,97,4%,196,8%,99,4%,26,1%,182,18%,24,2%,143,14%,19,2%,38,4%,17,2%,241,24%,166,16%,46,5%,9,1%,80,8%,45,4%,450,45%,0,0%,52,5%,117,12%,321,32%,345,34%,2,0%,48,5%,33,3%,25,2%,17,2%,8,1%
MELTZER TOWER,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,1%,0,0%,7,3%,72,30%,105,43%,58,24%,205,91%,18,8%,3,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,13,6%,0,0%,0,0%,3,1%,162,72%,131,58%,2,1%,51,23%,0,0%,3,1%,15,7%,,0%
METRO NORTH PLAZA,22,4%,34,6%,51,8%,58,9%,76,12%,55,9%,63,10%,72,12%,33,5%,35,6%,63,10%,41,7%,14,2%,65,25%,9,3%,39,15%,8,3%,15,6%,5,2%,35,13%,43,16%,16,6%,13,5%,10,4%,7,3%,105,40%,0,0%,12,5%,28,11%,113,43%,114,43%,2,1%,20,8%,4,2%,5,2%,4,2%,1,0%
MIDDLETOWN PLAZA,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,1%,0,0%,3,2%,71,36%,95,48%,25,13%,156,89%,18,10%,0,0%,1,1%,0,0%,0,0%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,5,3%,0,0%,1,1%,4,2%,142,81%,76,43%,4,2%,40,23%,0,0%,0,0%,5,3%,1,1%
MILL BROOK,157,5%,239,8%,291,10%,313,11%,290,10%,327,11%,307,11%,323,11%,151,5%,115,4%,238,8%,117,4%,37,1%,243,20%,35,3%,187,15%,9,1%,52,4%,20,2%,339,27%,219,18%,59,5%,12,1%,37,3%,33,3%,521,42%,0,0%,52,4%,150,12%,401,32%,383,31%,1,0%,67,5%,31,2%,22,2%,9,1%,6,0%
MILL BROOK EXTENSION,11,4%,26,8%,24,8%,40,13%,42,13%,40,13%,25,8%,34,11%,17,5%,15,5%,20,6%,14,4%,5,2%,26,21%,2,2%,20,16%,1,1%,4,3%,5,4%,34,27%,16,13%,7,6%,2,2%,4,3%,3,2%,50,40%,0,0%,4,3%,18,15%,49,40%,45,36%,1,1%,7,6%,3,2%,3,2%,1,1%,1,1%
MITCHEL,269,7%,393,10%,438,11%,407,10%,390,10%,423,10%,381,9%,431,11%,186,5%,166,4%,317,8%,208,5%,60,1%,402,24%,46,3%,227,13%,37,2%,91,5%,33,2%,488,29%,210,12%,82,5%,19,1%,33,2%,33,2%,717,42%,3,0%,97,6%,250,15%,561,33%,561,33%,6,0%,103,6%,66,4%,55,3%,8,0%,2,0%
MONROE,150,6%,205,8%,260,10%,310,12%,258,10%,330,12%,232,9%,307,11%,145,5%,111,4%,212,8%,117,4%,40,1%,196,18%,37,3%,155,14%,13,1%,27,2%,10,1%,275,25%,194,18%,58,5%,24,2%,65,6%,35,3%,448,41%,2,0%,70,6%,130,12%,367,34%,399,37%,3,0%,78,7%,38,3%,14,1%,29,3%,14,1%
MOORE,63,6%,92,8%,91,8%,110,10%,130,11%,143,12%,122,11%,133,12%,67,6%,43,4%,78,7%,51,4%,22,2%,77,17%,20,4%,71,15%,6,1%,24,5%,10,2%,107,23%,80,17%,16,3%,11,2%,18,4%,21,5%,202,44%,0,0%,29,6%,58,13%,140,30%,145,31%,1,0%,36,8%,18,4%,9,2%,5,1%,,0%
MORRIS I,181,6%,268,9%,329,11%,332,12%,307,11%,294,10%,287,10%,322,11%,116,4%,111,4%,176,6%,97,3%,41,1%,183,17%,30,3%,141,13%,16,1%,73,7%,19,2%,323,30%,167,16%,47,4%,13,1%,37,3%,22,2%,519,48%,0,0%,66,6%,139,13%,319,30%,354,33%,4,0%,65,6%,38,4%,20,2%,45,4%,17,2%
MORRIS II,121,6%,208,10%,186,9%,230,11%,209,10%,226,11%,176,9%,233,11%,109,5%,83,4%,151,7%,84,4%,19,1%,128,16%,27,3%,106,13%,24,3%,53,7%,24,3%,236,30%,110,14%,33,4%,11,1%,21,3%,20,3%,390,49%,2,0%,36,5%,103,13%,252,32%,251,32%,1,0%,51,6%,37,5%,9,1%,30,4%,11,1%
MORRIS PARK SENIOR CITIZENS HOME,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,3%,44,44%,42,42%,11,11%,89,94%,4,4%,1,1%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,3%,0,0%,0,0%,4,4%,64,67%,50,53%,1,1%,16,17%,0,0%,3,3%,0,0%,,0%
MORRISANIA,46,9%,66,13%,61,12%,46,9%,48,9%,44,8%,49,9%,68,13%,30,6%,18,3%,33,6%,8,2%,4,1%,24,12%,5,2%,41,20%,4,2%,13,6%,3,1%,74,36%,25,12%,6,3%,2,1%,4,2%,5,2%,96,47%,0,0%,19,9%,29,14%,34,17%,65,32%,1,0%,5,2%,3,1%,3,1%,9,4%,7,3%
MORRISANIA AIR RIGHTS,65,4%,122,7%,147,8%,196,11%,149,8%,158,9%,135,7%,164,9%,87,5%,67,4%,285,16%,191,11%,39,2%,339,41%,39,5%,61,7%,10,1%,31,4%,24,3%,126,15%,120,14%,30,4%,10,1%,17,2%,21,3%,290,35%,0,0%,36,4%,86,10%,353,43%,355,43%,4,0%,79,10%,6,1%,11,1%,31,4%,11,1%
MOTT HAVEN,155,6%,261,10%,271,11%,274,11%,252,10%,271,11%,246,10%,295,12%,93,4%,123,5%,159,6%,77,3%,36,1%,152,15%,32,3%,147,15%,21,2%,59,6%,19,2%,299,30%,128,13%,45,5%,15,2%,39,4%,28,3%,449,46%,3,0%,53,5%,127,13%,285,29%,286,29%,5,1%,56,6%,48,5%,18,2%,70,7%,30,3%
NEW LANE AREA,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,1%,7,2%,110,33%,170,51%,41,12%,208,77%,59,22%,1,0%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,7,3%,0,0%,0,0%,5,2%,175,65%,140,52%,3,1%,65,24%,0,0%,0,0%,12,4%,,0%
NOSTRAND,125,5%,179,8%,194,8%,232,10%,203,9%,237,10%,216,9%,281,12%,163,7%,138,6%,205,9%,123,5%,54,2%,219,19%,74,7%,199,18%,25,2%,20,2%,18,2%,293,26%,180,16%,52,5%,12,1%,22,2%,21,2%,504,44%,0,0%,42,4%,128,11%,362,32%,370,33%,5,0%,88,8%,20,2%,11,1%,93,8%,34,3%
O'DWYER GARDENS,34,4%,43,5%,37,4%,53,6%,73,8%,94,10%,64,7%,105,11%,77,8%,81,8%,158,17%,96,10%,38,4%,193,34%,45,8%,125,22%,18,3%,7,1%,7,1%,62,11%,59,11%,18,3%,6,1%,7,1%,13,2%,184,33%,0,0%,19,3%,41,7%,223,40%,201,36%,3,1%,72,13%,1,0%,15,3%,20,4%,9,2%
OCEAN BAY APARTMENTS (OCEANSIDE),52,6%,79,9%,52,6%,75,9%,71,8%,101,12%,100,12%,112,13%,49,6%,44,5%,78,9%,27,3%,12,1%,65,16%,13,3%,79,19%,3,1%,15,4%,4,1%,112,27%,70,17%,15,4%,6,1%,9,2%,18,4%,208,51%,12,3%,27,7%,40,10%,124,30%,86,21%,1,0%,23,6%,13,3%,3,1%,28,7%,7,2%
OCEAN HILL APARTMENTS,44,7%,54,9%,63,10%,72,12%,61,10%,71,11%,71,11%,64,10%,33,5%,23,4%,39,6%,22,4%,7,1%,37,16%,7,3%,34,15%,5,2%,19,8%,2,1%,70,30%,28,12%,11,5%,5,2%,12,5%,4,2%,129,55%,1,0%,19,8%,32,14%,63,27%,64,27%,0,0%,17,7%,8,3%,45,19%,7,3%,1,0%
OCEAN HILL-BROWNSVILLE,27,9%,33,10%,32,10%,46,15%,39,12%,49,16%,23,7%,35,11%,10,3%,9,3%,10,3%,2,1%,0,0%,8,7%,1,1%,15,12%,0,0%,2,2%,0,0%,71,58%,15,12%,0,0%,1,1%,4,3%,6,5%,63,51%,0,0%,8,7%,29,24%,27,22%,21,17%,0,0%,1,1%,4,3%,5,4%,0,0%,,0%
PARK ROCK REHAB,23,7%,38,12%,35,11%,29,9%,37,11%,51,16%,31,10%,30,9%,20,6%,17,5%,8,2%,3,1%,2,1%,12,9%,3,2%,24,18%,0,0%,2,1%,1,1%,58,43%,20,15%,3,2%,1,1%,6,4%,4,3%,79,59%,0,0%,13,10%,15,11%,29,22%,33,25%,0,0%,4,3%,3,2%,5,4%,0,0%,,0%
PARKSIDE,85,5%,141,8%,160,9%,159,9%,137,8%,202,12%,178,10%,193,11%,118,7%,104,6%,147,8%,83,5%,30,2%,177,20%,30,3%,168,19%,15,2%,18,2%,10,1%,255,29%,123,14%,26,3%,14,2%,15,2%,17,2%,366,42%,0,0%,26,3%,89,10%,301,35%,253,29%,1,0%,110,13%,24,3%,26,3%,25,3%,10,1%
PATTERSON,247,6%,376,9%,451,10%,466,11%,497,11%,465,11%,445,10%,509,12%,214,5%,182,4%,289,7%,175,4%,70,2%,325,18%,43,2%,207,12%,19,1%,97,5%,39,2%,477,27%,345,19%,95,5%,29,2%,59,3%,38,2%,822,46%,5,0%,97,5%,221,12%,555,31%,582,33%,7,0%,113,6%,45,3%,12,1%,48,3%,13,1%
PELHAM PARKWAY,122,5%,183,7%,210,8%,218,8%,230,9%,286,11%,230,9%,357,14%,173,7%,131,5%,253,10%,123,5%,58,2%,278,22%,44,3%,235,19%,30,2%,33,3%,26,2%,294,23%,204,16%,63,5%,12,1%,19,2%,24,2%,531,42%,1,0%,52,4%,126,10%,466,37%,361,29%,5,0%,145,11%,43,3%,10,1%,50,4%,19,2%
PINK,222,6%,329,9%,392,11%,445,12%,374,10%,440,12%,331,9%,429,12%,184,5%,150,4%,231,6%,111,3%,27,1%,221,15%,21,1%,240,16%,21,1%,71,5%,15,1%,480,32%,234,16%,63,4%,23,2%,50,3%,40,3%,699,47%,2,0%,88,6%,176,12%,427,29%,395,27%,5,0%,75,5%,60,4%,26,2%,72,5%,32,2%
POLO GROUNDS TOWERS,180,5%,329,8%,369,9%,439,11%,445,11%,398,10%,348,9%,511,13%,186,5%,166,4%,319,8%,203,5%,54,1%,285,18%,69,4%,240,15%,27,2%,83,5%,40,3%,388,24%,242,15%,83,5%,40,3%,51,3%,46,3%,689,43%,8,1%,82,5%,219,14%,583,37%,448,28%,10,1%,173,11%,51,3%,19,1%,44,3%,19,1%
POMONOK,231,5%,314,7%,341,8%,366,9%,388,9%,472,11%,349,8%,562,13%,293,7%,235,6%,371,9%,225,5%,124,3%,417,20%,120,6%,344,17%,53,3%,44,2%,51,2%,528,26%,341,17%,65,3%,12,1%,29,1%,46,2%,887,43%,12,1%,101,5%,213,10%,730,36%,583,28%,11,1%,249,12%,103,5%,18,1%,113,6%,36,2%
PSS Grandparents Family Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEENSBRIDGE NORTH,155,5%,265,8%,250,8%,274,8%,301,9%,352,11%,303,9%,455,14%,220,7%,192,6%,329,10%,143,4%,48,1%,268,18%,95,6%,262,17%,58,4%,49,3%,41,3%,367,24%,225,15%,58,4%,12,1%,39,3%,46,3%,768,51%,0,0%,71,5%,167,11%,492,32%,393,26%,8,1%,115,8%,40,3%,4,0%,61,4%,26,2%
QUEENSBRIDGE SOUTH,183,5%,267,8%,263,8%,313,9%,327,10%,351,10%,327,10%,445,13%,195,6%,191,6%,335,10%,136,4%,55,2%,282,18%,94,6%,338,21%,53,3%,64,4%,37,2%,371,23%,202,13%,70,4%,16,1%,25,2%,27,2%,700,44%,0,0%,88,6%,209,13%,499,32%,419,27%,9,1%,111,7%,42,3%,3,0%,85,5%,33,2%
RALPH AVENUE REHAB,23,8%,26,9%,27,10%,26,9%,24,9%,48,17%,27,10%,34,12%,12,4%,14,5%,11,4%,2,1%,3,1%,11,10%,2,2%,19,17%,1,1%,2,2%,5,4%,41,36%,24,21%,4,3%,1,1%,2,2%,3,3%,68,59%,1,1%,8,7%,18,16%,15,13%,26,23%,0,0%,2,2%,3,3%,2,2%,3,3%,2,2%
RANDALL AVENUE-BALCOM AVENUE,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,1%,8,3%,123,46%,104,39%,32,12%,231,92%,17,7%,0,0%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,14,6%,0,0%,0,0%,2,1%,200,80%,98,39%,2,1%,64,26%,0,0%,1,0%,0,0%,,0%
RANGEL,117,5%,167,7%,209,9%,240,10%,242,11%,259,11%,213,9%,321,14%,138,6%,107,5%,132,6%,93,4%,61,3%,156,16%,27,3%,134,14%,10,1%,40,4%,18,2%,281,29%,199,20%,47,5%,15,2%,18,2%,34,3%,489,50%,3,0%,66,7%,128,13%,335,34%,245,25%,8,1%,103,11%,35,4%,29,3%,24,2%,16,2%
RAVENSWOOD,173,4%,272,7%,296,7%,304,7%,366,9%,474,11%,378,9%,551,13%,291,7%,268,6%,440,11%,215,5%,113,3%,465,23%,107,5%,356,17%,67,3%,73,4%,61,3%,420,21%,335,16%,60,3%,16,1%,33,2%,48,2%,969,47%,10,0%,123,6%,202,10%,760,37%,471,23%,18,1%,255,12%,32,2%,72,4%,133,7%,48,2%
RED HOOK EAST,167,6%,231,8%,268,9%,258,9%,289,10%,337,11%,285,10%,363,12%,181,6%,172,6%,249,8%,132,4%,37,1%,257,19%,66,5%,263,19%,34,2%,52,4%,23,2%,360,26%,196,14%,59,4%,23,2%,25,2%,25,2%,637,46%,2,0%,65,5%,165,12%,442,32%,428,31%,2,0%,94,7%,36,3%,57,4%,61,4%,19,1%
RED HOOK WEST,207,6%,265,8%,293,9%,330,10%,290,9%,379,12%,349,11%,390,12%,196,6%,156,5%,250,8%,111,3%,32,1%,243,17%,41,3%,285,20%,47,3%,53,4%,28,2%,391,27%,193,13%,76,5%,17,1%,42,3%,37,3%,671,46%,0,0%,83,6%,171,12%,436,30%,411,28%,5,0%,150,10%,22,2%,18,1%,46,3%,26,2%
REDFERN,93,6%,161,10%,204,13%,205,13%,168,10%,186,12%,177,11%,184,11%,65,4%,49,3%,60,4%,38,2%,17,1%,62,11%,6,1%,76,13%,10,2%,36,6%,13,2%,193,33%,96,17%,38,7%,15,3%,18,3%,15,3%,276,48%,3,1%,48,8%,84,15%,153,26%,182,31%,1,0%,19,3%,8,1%,19,3%,19,3%,9,2%
REHAB PROGRAM (COLLEGE POINT),0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,7,54%,4,31%,2,15%,13,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,8%,0,0%,0,0%,0,0%,8,62%,9,69%,0,0%,1,8%,0,0%,0,0%,0,0%,,0%
REHAB PROGRAM (DOUGLASS REHABS),11,6%,12,6%,16,9%,8,4%,12,6%,19,10%,21,11%,23,12%,16,9%,14,7%,21,11%,11,6%,4,2%,32,29%,2,2%,30,27%,3,3%,1,1%,3,3%,24,22%,7,6%,0,0%,0,0%,4,4%,4,4%,48,44%,0,0%,3,3%,10,9%,36,33%,22,20%,2,2%,10,9%,3,3%,2,2%,9,8%,6,5%
REHAB PROGRAM (TAFT REHABS),25,8%,19,6%,41,13%,20,6%,29,9%,35,11%,37,11%,49,15%,21,6%,9,3%,21,6%,15,5%,4,1%,21,13%,6,4%,38,24%,3,2%,4,3%,3,2%,52,33%,12,8%,3,2%,2,1%,6,4%,6,4%,72,46%,0,0%,12,8%,25,16%,43,28%,36,23%,1,1%,12,8%,6,4%,3,2%,8,5%,3,2%
REHAB PROGRAM (WISE REHAB),7,10%,4,6%,2,3%,4,6%,4,6%,8,11%,9,13%,10,14%,5,7%,3,4%,7,10%,5,7%,3,4%,12,30%,0,0%,8,20%,0,0%,0,0%,1,2%,10,25%,4,10%,1,2%,2,5%,2,5%,0,0%,16,40%,0,0%,4,10%,3,8%,13,32%,10,25%,0,0%,7,18%,0,0%,2,5%,0,0%,,0%
REID APARTMENTS,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,5,2%,81,34%,110,47%,38,16%,211,95%,11,5%,0,0%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,10,4%,0,0%,1,0%,5,2%,163,73%,105,47%,0,0%,60,27%,0,0%,3,1%,1,0%,,0%
RICHMOND TERRACE,117,9%,151,11%,170,13%,162,12%,153,12%,145,11%,119,9%,141,11%,56,4%,52,4%,47,4%,14,1%,2,0%,41,8%,5,1%,95,20%,3,1%,11,2%,4,1%,182,38%,59,12%,22,5%,2,0%,41,8%,20,4%,225,46%,1,0%,31,6%,92,19%,110,23%,143,29%,2,0%,15,3%,30,6%,0,0%,22,5%,14,3%
RIIS,97,4%,161,6%,221,8%,255,9%,246,9%,279,10%,253,9%,342,13%,200,7%,182,7%,258,10%,151,6%,55,2%,217,19%,53,5%,162,14%,26,2%,62,5%,66,6%,208,18%,197,17%,61,5%,20,2%,45,4%,49,4%,523,45%,0,0%,54,5%,118,10%,480,41%,356,31%,10,1%,132,11%,10,1%,46,4%,13,1%,5,0%
RIIS II,37,3%,73,6%,104,8%,121,9%,124,10%,140,11%,109,8%,155,12%,104,8%,79,6%,137,11%,80,6%,25,2%,118,21%,22,4%,74,13%,13,2%,23,4%,32,6%,98,17%,112,20%,27,5%,16,3%,19,3%,12,2%,247,44%,0,0%,23,4%,64,11%,229,40%,192,34%,6,1%,49,9%,3,1%,13,2%,2,0%,1,0%
ROBBINS PLAZA,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,0,0%,2,1%,51,32%,75,47%,32,20%,134,91%,11,7%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,5,3%,0,0%,1,1%,3,2%,114,78%,68,46%,1,1%,38,26%,0,0%,4,3%,2,1%,,0%
ROBINSON,23,6%,35,9%,29,7%,35,9%,42,11%,35,9%,44,11%,46,12%,25,6%,21,5%,36,9%,22,6%,2,1%,35,19%,3,2%,48,26%,4,2%,7,4%,3,2%,37,20%,21,11%,11,6%,4,2%,4,2%,8,4%,76,41%,0,0%,7,4%,22,12%,75,41%,50,27%,0,0%,25,14%,0,0%,19,10%,2,1%,2,1%
ROOSEVELT I,113,6%,138,7%,162,9%,214,12%,179,10%,197,11%,171,9%,183,10%,77,4%,69,4%,160,9%,142,8%,36,2%,217,29%,30,4%,63,8%,10,1%,45,6%,15,2%,153,20%,102,14%,50,7%,10,1%,27,4%,28,4%,301,40%,0,0%,43,6%,82,11%,327,44%,268,36%,6,1%,74,10%,19,3%,31,4%,16,2%,4,1%
ROOSEVELT II,44,6%,72,10%,66,9%,57,8%,62,8%,89,12%,73,10%,73,10%,39,5%,34,5%,83,11%,39,5%,14,2%,82,24%,10,3%,39,12%,10,3%,15,4%,12,4%,93,28%,41,12%,21,6%,4,1%,5,1%,6,2%,127,38%,2,1%,20,6%,33,10%,143,42%,116,34%,0,0%,32,9%,13,4%,2,1%,13,4%,7,2%
RUTGERS,63,4%,81,5%,92,6%,115,7%,121,8%,146,9%,124,8%,179,11%,117,7%,118,7%,180,11%,184,12%,80,5%,176,24%,81,11%,108,15%,19,3%,29,4%,46,6%,93,13%,87,12%,18,2%,14,2%,21,3%,28,4%,296,41%,0,0%,28,4%,50,7%,404,56%,244,34%,10,1%,139,19%,10,1%,64,9%,38,5%,4,1%
